,0,1,2,3,4,5,6
0,43317.0,35704.0,0,2,0,38,3044
1,26250.0,52864.0,0,2,0,38,3044
2,34223.0,43636.0,0,2,0,38,3045
3,29699.0,43903.0,0,2,0,38,3045
4,39930.0,443.0,0,3,0,10,65
5,443.0,39930.0,0,3,0,18,0
6,41530.0,27376.0,0,91,0,35034,6047
7,27376.0,41530.0,0,198,0,16632,2099
8,40001.0,3697.0,0,1,0,18,0
9,443.0,39930.0,0,11,0,1000,9960
10,39930.0,443.0,0,11,0,44,10087
11,26250.0,52864.0,0,3,0,50,1281
12,34223.0,43636.0,0,4,0,70,1497
13,41530.0,27376.0,0,40,0,161,4715
14,27376.0,41530.0,0,108,0,44336,1897
15,58337.0,53464.0,0,5,0,98,0
16,58337.0,53465.0,0,5,0,25,0
17,443.0,54851.0,0,6,0,140,0
18,29699.0,43903.0,0,7,0,140,9282
19,17044.0,58833.0,0,15,0,310,11307
20,58833.0,17044.0,0,17,0,165,815
21,51115.0,38852.0,0,12,0,273,9811
22,38852.0,51115.0,0,14,0,169,822
23,59437.0,54880.0,0,9,0,217,2024
24,54880.0,59437.0,0,11,0,133,916
25,36944.0,58555.0,0,8,0,179,1086
26,58555.0,36944.0,0,10,0,169,653
27,17044.0,58833.0,0,1,0,19,0
28,51115.0,38852.0,0,1,0,19,0
29,59437.0,54880.0,0,1,0,19,0
30,36944.0,58555.0,0,1,0,19,0
31,39930.0,443.0,0,3,0,10,66
32,443.0,39930.0,0,3,0,18,0
33,27376.0,41530.0,0,91,0,42708,1896
34,41530.0,27376.0,0,245,0,45628,4889
35,443.0,39930.0,0,2,0,908,0
36,39930.0,443.0,0,2,0,4,0
37,51115.0,38852.0,0,3,0,51,1131
38,27376.0,41530.0,0,118,0,43866,1864
39,41530.0,27376.0,0,33,0,47826,4918
40,59437.0,54880.0,0,6,0,120,3076
41,36944.0,58555.0,0,7,0,140,9258
42,39930.0,443.0,0,8,0,1347,6158
43,443.0,39930.0,0,8,0,140,5453
44,15955.0,41689.0,0,8,0,120,1117
45,41689.0,15955.0,0,10,0,133,454
46,28869.0,58481.0,0,5,0,97,0
47,28869.0,58482.0,0,5,0,32,0
48,443.0,39074.0,0,6,0,110,0
49,52134.0,53519.0,0,17,0,379,18940
50,53519.0,52134.0,0,19,0,169,654
51,18874.0,41626.0,0,14,0,296,17432
52,41626.0,18874.0,0,16,0,148,1101
53,3254.0,45465.0,0,10,0,238,7862
54,45465.0,3254.0,0,11,0,169,766
55,24468.0,60022.0,0,8,0,165,1277
56,60022.0,24468.0,0,10,0,170,836
57,40001.0,3697.0,0,1,0,18,0
58,52134.0,53519.0,0,1,0,19,0
59,18874.0,41626.0,0,1,0,19,0
60,3254.0,45465.0,0,1,0,19,0
61,24468.0,60022.0,0,1,0,19,0
62,27376.0,41530.0,0,96,0,42409,1889
63,41530.0,27376.0,0,37,0,45307,4748
64,443.0,39930.0,0,9,0,74,11273
65,39930.0,443.0,0,9,0,46,10850
66,443.0,39930.0,0,3,0,911,4
67,39930.0,443.0,0,3,0,4,0
68,27376.0,41530.0,0,84,0,42179,1900
69,41530.0,27376.0,0,255,0,45046,5393
70,18874.0,41626.0,0,3,0,51,1658
71,40001.0,3697.0,0,1,0,18,0
72,443.0,39930.0,0,6,0,56,0
73,39930.0,443.0,0,6,0,36,733
